ventas_totales,ticket_promedio,clientes_atendidos,canal_venta,satisfaccion_cliente
5279156.0,98493.0,54,Página web,Neutral
7505082.0,118505.0,65,Página web,Muy satisfecho
9872256.0,134622.0,67,Tienda física,Muy satisfecho
5792831.0,97629.0,51,Aplicación,Neutral
5372503.0,128275.0,47,Teléfono,Muy satisfecho
10298118.0,134247.0,77,Tienda física,Muy satisfecho
9701126.0,144053.0,70,Tienda física,Satisfecho
6167108.0,100474.0,62,Tienda física,Insatisfecho
7825411.0,142342.0,52,Página web,Satisfecho
6814375.0,111227.0,55,Teléfono,Insatisfecho
5490015.0,88040.0,54,Página web,Insatisfecho
5665319.0,87569.0,68,Tienda física,Neutral
5103834.0,98339.0,49,Teléfono,Satisfecho
6807491.0,87418.0,83,Tienda física,Neutral
6973777.0,134395.0,59,Aplicación,Satisfecho
8641053.0,161285.0,59,Página web,Muy insatisfecho
9310374.0,158660.0,65,Tienda física,Neutral
3000909.0,64204.0,54,Teléfono,Insatisfecho
7091673.0,106074.0,64,Teléfono,Neutral
12024833.0,170458.0,65,Aplicación,Muy satisfecho
5377739.0,91165.0,62,Página web,Insatisfecho
5094222.0,126156.0,50,Página web,Satisfecho
11798945.0,150532.0,67,Tienda física,Neutral
6388737.0,127138.0,52,Página web,Insatisfecho
10546044.0,118846.0,75,Aplicación,Satisfecho
7876438.0,123122.0,64,Página web,Neutral
5637123.0,90176.0,63,Tienda física,Muy satisfecho
6673612.0,99151.0,69,Tienda física,Satisfecho
10460407.0,148652.0,65,Tienda física,Neutral
11971994.0,171889.0,67,Aplicación,Neutral
9952705.0,155819.0,59,Tienda física,Neutral
7397172.0,106506.0,65,Página web,Muy satisfecho
8727418.0,148143.0,62,Página web,Muy insatisfecho
6676752.0,117222.0,61,Página web,Muy satisfecho
9051217.0,126449.0,64,Página web,Satisfecho
5963790.0,104704.0,55,Aplicación,Neutral
7337503.0,131431.0,60,Página web,Satisfecho
7226333.0,108882.0,64,Tienda física,Neutral
8125242.0,125324.0,69,Página web,Satisfecho
8027433.0,126944.0,66,Aplicación,Neutral
6129121.0,96076.0,72,Tienda física,Muy satisfecho
5597218.0,97983.0,62,Tienda física,Insatisfecho
6165143.0,88375.0,73,Tienda física,Muy satisfecho
10900281.0,145731.0,72,Tienda física,Neutral
5072277.0,71502.0,67,Tienda física,Neutral
3474270.0,52226.0,57,Tienda física,Neutral
3044411.0,63739.0,63,Tienda física,Satisfecho
7111384.0,111010.0,61,Tienda física,Satisfecho
9221357.0,126018.0,67,Aplicación,Satisfecho
8192738.0,153209.0,53,Aplicación,Neutral
7251478.0,149700.0,52,Tienda física,Insatisfecho
6140878.0,103696.0,58,Aplicación,Neutral
8108743.0,134003.0,61,Tienda física,Insatisfecho
9024002.0,133488.0,66,Aplicación,Neutral
6657232.0,99791.0,68,Aplicación,Muy satisfecho
5415644.0,109978.0,55,Aplicación,Satisfecho
8014436.0,132931.0,62,Aplicación,Satisfecho
8688656.0,137667.0,65,Tienda física,Neutral
8536337.0,109314.0,78,Tienda física,Neutral
7769936.0,152782.0,52,Aplicación,Neutral
8872312.0,173895.0,58,Aplicación,Muy satisfecho
7109151.0,116115.0,57,Página web,Muy satisfecho
2534100.0,39285.0,65,Tienda física,Muy satisfecho
7929648.0,127860.0,70,Página web,Muy insatisfecho
7421848.0,135502.0,62,Tienda física,Neutral
2963348.0,46140.0,60,Tienda física,Neutral
6560286.0,100657.0,63,Tienda física,Satisfecho
8621314.0,145892.0,67,Página web,Satisfecho
5510753.0,101809.0,52,Página web,Neutral
6339062.0,99728.0,68,Página web,Neutral
7596253.0,104624.0,64,Aplicación,Neutral
10155083.0,128066.0,74,Página web,Neutral
9277936.0,141602.0,58,Página web,Satisfecho
11637586.0,141112.0,81,Tienda física,Neutral
6678525.0,106736.0,60,Página web,Neutral
7465626.0,143138.0,59,Página web,Neutral
6960795.0,117357.0,66,Tienda física,Muy satisfecho
7347724.0,105067.0,73,Tienda física,Neutral
6541122.0,123742.0,59,Página web,Neutral
8836796.0,132386.0,74,Teléfono,Muy satisfecho
7133199.0,118295.0,64,Tienda física,Satisfecho
11495794.0,151113.0,74,Tienda física,Neutral
8752108.0,135933.0,57,Aplicación,Neutral
7457646.0,126958.0,63,Teléfono,Neutral
7019715.0,111841.0,68,Tienda física,Satisfecho
9527803.0,136633.0,70,Página web,Muy satisfecho
8135048.0,123052.0,63,Página web,Neutral
8866440.0,161757.0,55,Página web,Satisfecho
5773287.0,96914.0,63,Aplicación,Satisfecho
6582711.0,92381.0,73,Tienda física,Satisfecho
7815663.0,149444.0,49,Aplicación,Neutral
8849037.0,173252.0,64,Teléfono,Neutral
8249180.0,124542.0,70,Tienda física,Satisfecho
9360088.0,132373.0,70,Tienda física,Satisfecho
7288712.0,109179.0,69,Tienda física,Neutral
12534213.0,138304.0,81,Tienda física,Insatisfecho
7479856.0,126724.0,57,Tienda física,Muy satisfecho
8141247.0,142020.0,59,Aplicación,Muy satisfecho
7336884.0,125566.0,64,Aplicación,Satisfecho
4115821.0,61148.0,66,Tienda física,Muy satisfecho
7623837.0,109921.0,58,Página web,Neutral
7871900.0,125904.0,66,Aplicación,Satisfecho
5886439.0,118415.0,51,Aplicación,Muy insatisfecho
8318770.0,135438.0,60,Tienda física,Neutral
5764273.0,87929.0,66,Tienda física,Muy satisfecho
8517100.0,131270.0,74,Tienda física,Neutral
7964761.0,133080.0,58,Tienda física,Satisfecho
4713142.0,111463.0,44,Página web,Muy insatisfecho
4195511.0,68047.0,63,Tienda física,Muy satisfecho
6626265.0,106611.0,62,Tienda física,Muy satisfecho
10449146.0,139011.0,78,Tienda física,Insatisfecho
9567875.0,140304.0,66,Página web,Satisfecho
