ingresos_mensuales,costos_operativos,numero_empleados,sector_economico,nivel_formalizacion
19515866.0,15946341.0,7,Comercio,Formal básica
53144095.0,29120362.0,8,Manufactura,En transición
10996697.0,9318519.0,5,Agroindustria,En transición
30532468.0,24012308.0,7,Manufactura,Formal básica
33290523.0,22851650.0,1,Servicios,Informal
18080231.0,15753686.0,4,Comercio,Informal
24207293.0,19782697.0,6,Agroindustria,Formal básica
27578750.0,14412799.0,4,Comercio,Informal
30304152.0,23736097.0,3,Comercio,Informal
21869356.0,15298897.0,6,Comercio,Informal
17944983.0,14045958.0,4,Agroindustria,En transición
34395267.0,23928428.0,2,Comercio,En transición
16095851.0,9143317.0,4,Servicios,Informal
38975072.0,28668742.0,8,Manufactura,Formal básica
29641998.0,23607159.0,3,Servicios,En transición
29526155.0,16409570.0,5,Manufactura,En transición
16979183.0,14169497.0,2,Agroindustria,Informal
32951450.0,20785681.0,12,Servicios,En transición
17715245.0,14380729.0,4,Comercio,En transición
14034266.0,9236874.0,5,Comercio,En transición
19698782.0,18988186.0,9,Comercio,En transición
29647026.0,24687947.0,3,Comercio,En transición
27125544.0,17605711.0,7,Manufactura,En transición
16034209.0,13008187.0,5,Comercio,Formal básica
36357603.0,22361718.0,5,Comercio,En transición
18333573.0,12493980.0,7,Comercio,Formal básica
11265076.0,8111395.0,6,Agroindustria,En transición
31656643.0,17550830.0,2,Comercio,Informal
34572869.0,24498853.0,5,Servicios,En transición
10526401.0,10600390.0,5,Comercio,Formal básica
18213178.0,12150590.0,3,Servicios,Informal
23751278.0,15340993.0,7,Servicios,Formal básica
24436263.0,18017651.0,8,Comercio,Formal básica
22463993.0,19046973.0,5,Manufactura,En transición
14486082.0,9966850.0,4,Comercio,Informal
20802675.0,18276341.0,12,Servicios,Formal básica
25066430.0,22606690.0,5,Servicios,En transición
28649563.0,19125587.0,7,Comercio,Informal
37061237.0,27561592.0,2,Manufactura,En transición
15303907.0,10505328.0,4,Agroindustria,Informal
19399534.0,12878676.0,6,Agroindustria,Informal
15983849.0,9461593.0,5,Comercio,En transición
22709463.0,14446810.0,6,Comercio,En transición
9824369.0,9199332.0,7,Servicios,En transición
17335399.0,11284154.0,4,Comercio,En transición
17031626.0,14768153.0,4,Comercio,En transición
15834976.0,14413377.0,5,Manufactura,En transición
55481440.0,34233802.0,1,Servicios,Informal
22093240.0,17256504.0,3,Comercio,En transición
14266101.0,12409630.0,8,Comercio,En transición
38623117.0,20910562.0,5,Manufactura,En transición
51437227.0,33301351.0,9,Comercio,Formal básica
19125226.0,13417190.0,4,Servicios,En transición
37051723.0,28638013.0,3,Manufactura,En transición
22316028.0,15632469.0,7,Servicios,En transición
30836189.0,24526461.0,7,Manufactura,Formal básica
22121252.0,13823656.0,12,Manufactura,Formal básica
17469248.0,14214381.0,4,Agroindustria,Informal
19046236.0,15736569.0,10,Comercio,Formal básica
18335259.0,14515445.0,4,Comercio,Informal
17578591.0,15551168.0,4,Manufactura,En transición
17414748.0,11935929.0,5,Servicios,En transición
26346218.0,18567670.0,6,Comercio,En transición
16228250.0,12192402.0,7,Servicios,Formal básica
21172272.0,16104338.0,4,Comercio,En transición
19166957.0,14883264.0,7,Comercio,En transición
14069991.0,9035475.0,3,Comercio,En transición
26042353.0,18201397.0,11,Agroindustria,En transición
8461551.0,7888020.0,7,Comercio,Informal
36445806.0,22508413.0,8,Comercio,Formal básica
26828936.0,18667051.0,5,Agroindustria,Informal
21385503.0,15980119.0,6,Agroindustria,En transición
22430732.0,12017877.0,4,Agroindustria,En transición
31951410.0,27471931.0,7,Manufactura,En transición
23604108.0,15191833.0,3,Manufactura,En transición
27030273.0,15018150.0,9,Agroindustria,En transición
25609099.0,14807559.0,6,Comercio,Formal básica
24599107.0,14950288.0,4,Servicios,Informal
22109913.0,17779901.0,7,Servicios,En transición
14404849.0,11373831.0,3,Agroindustria,En transición
19769746.0,11667224.0,5,Agroindustria,En transición
25245747.0,14931077.0,6,Comercio,Formal básica
20407827.0,17716622.0,9,Manufactura,Formal básica
15280869.0,11555393.0,5,Servicios,En transición
19072136.0,15678845.0,3,Comercio,Informal
65366421.0,40288865.0,8,Comercio,Formal básica
22912305.0,20273777.0,8,Servicios,Formal básica
24092484.0,16644813.0,6,Comercio,Informal
15021083.0,13765814.0,6,Agroindustria,Informal
37360617.0,30747112.0,7,Manufactura,Formal básica
10918847.0,8120773.0,5,Agroindustria,Informal
23942273.0,20356611.0,5,Servicios,En transición
22546229.0,15406235.0,8,Comercio,Formal básica
27476727.0,22233890.0,6,Comercio,En transición
13607473.0,11748334.0,5,Servicios,En transición
33846093.0,25518326.0,5,Servicios,Formal básica
16351742.0,14835888.0,7,Agroindustria,En transición
39892131.0,27019770.0,4,Manufactura,Informal
31650618.0,23381292.0,7,Agroindustria,Formal básica
19061364.0,14677436.0,12,Manufactura,Formal básica
45869786.0,25201284.0,5,Comercio,En transición
26964304.0,17361078.0,6,Servicios,Informal
21292070.0,14887072.0,5,Servicios,En transición
30870365.0,26177718.0,4,Agroindustria,En transición
15856683.0,14077238.0,4,Manufactura,Informal
32690146.0,23723114.0,11,Comercio,Formal básica
18872942.0,12524048.0,4,Comercio,Informal
19406141.0,13898465.0,6,Servicios,En transición
16919641.0,10538344.0,2,Servicios,Informal
10871525.0,7925019.0,5,Servicios,En transición
15581374.0,12091401.0,3,Comercio,Informal
34934973.0,24551214.0,4,Comercio,Formal básica
29497756.0,19077849.0,8,Agroindustria,Formal básica
