valor_exportado,tiempo_aduana_dias,numero_embarques,region_destino,riesgo_logistico
48619313.0,3.03,6,Asia,Bajo
24264929.0,2.79,5,Latinoamérica,Bajo
83099231.0,3.07,5,Norteamérica,Bajo
29534391.0,10.95,2,Latinoamérica,Muy alto
69613603.0,3.68,2,Latinoamérica,Bajo
134186774.0,2.06,4,Asia,Muy bajo
50344990.0,4.38,2,Latinoamérica,Bajo
87189864.0,0.56,5,Norteamérica,Muy bajo
34752657.0,2.18,7,Latinoamérica,Bajo
56787075.0,0.76,5,Norteamérica,Muy bajo
73828666.0,2.73,4,Asia,Bajo
63434525.0,1.64,3,Asia,Bajo
98961841.0,2.91,7,Norteamérica,Bajo
173372899.0,4.0,1,Asia,Muy bajo
48729005.0,1.72,6,Norteamérica,Muy bajo
65233530.0,0.64,6,Latinoamérica,Muy bajo
50764563.0,2.78,7,Europa,Medio
85928131.0,1.19,1,Norteamérica,Medio
51013912.0,4.72,2,Latinoamérica,Medio
26218884.0,1.59,8,Norteamérica,Medio
75862024.0,3.78,7,Norteamérica,Bajo
101918899.0,2.92,6,Europa,Bajo
63723511.0,3.34,5,Norteamérica,Muy bajo
117369783.0,1.91,4,Asia,Muy bajo
60246416.0,1.52,5,Europa,Muy bajo
181984565.0,1.38,7,Asia,Bajo
90139840.0,1.79,4,Latinoamérica,Muy bajo
26149866.0,1.5,5,Latinoamérica,Alto
81452227.0,0.93,5,Europa,Muy bajo
40485382.0,0.91,5,Latinoamérica,Bajo
72742458.0,6.51,8,Norteamérica,Alto
84760210.0,4.56,8,Norteamérica,Medio
84098990.0,1.2,7,Europa,Muy bajo
107972412.0,1.82,5,Norteamérica,Muy bajo
56419554.0,4.4,3,Latinoamérica,Medio
63025248.0,4.61,6,Norteamérica,Bajo
84005666.0,3.71,2,Europa,Medio
92843410.0,0.77,8,Europa,Medio
30168438.0,1.6,8,Latinoamérica,Bajo
40760479.0,1.19,7,Latinoamérica,Muy bajo
24468963.0,3.36,6,Asia,Bajo
84798552.0,1.5,4,Norteamérica,Bajo
80933838.0,3.71,5,Europa,Medio
31887984.0,1.22,3,Latinoamérica,Muy bajo
72903479.0,4.33,7,Europa,Bajo
44917361.0,1.85,4,Latinoamérica,Bajo
31365789.0,4.55,4,Europa,Bajo
79324194.0,2.6,8,Europa,Alto
