ingreso_por_habitacion,tarifa_promedio,numero_reservas,tipo_cliente,nivel_ocupacion
228086.0,256220.0,59,Turista nacional,Muy alta
204742.0,361517.0,41,Turista nacional,Media
279003.0,433987.0,34,Turista internacional,Baja
175624.0,266751.0,37,Turista internacional,Media
379471.0,431122.0,52,Turista internacional,Muy alta
360864.0,444243.0,27,Corporativo,Baja
427159.0,501069.0,42,Turista internacional,Alta
276068.0,375752.0,41,Corporativo,Media
273975.0,387822.0,53,Turista internacional,Media
268905.0,321671.0,42,Turista nacional,Alta
265529.0,385436.0,40,Turista nacional,Media
217474.0,363971.0,42,Turista nacional,Media
154786.0,165970.0,39,Grupo,Baja
241036.0,341716.0,41,Turista nacional,Baja
292411.0,409750.0,49,Corporativo,Alta
223993.0,364615.0,41,Corporativo,Media
252917.0,338108.0,42,Turista nacional,Media
324599.0,343129.0,35,Corporativo,Baja
302119.0,320941.0,40,Corporativo,Alta
329589.0,419082.0,44,Turista internacional,Baja
356386.0,552702.0,42,Turista internacional,Media
523700.0,575865.0,41,Turista internacional,Media
212003.0,379219.0,25,Turista internacional,Muy baja
225071.0,313348.0,38,Turista nacional,Baja
244235.0,307688.0,38,Turista nacional,Baja
277434.0,397227.0,38,Corporativo,Media
313323.0,437828.0,54,Turista internacional,Alta
263860.0,394614.0,45,Turista internacional,Alta
226698.0,257937.0,44,Turista internacional,Media
192528.0,291622.0,40,Turista internacional,Baja
350043.0,379801.0,44,Corporativo,Media
135913.0,156368.0,39,Turista nacional,Baja
299064.0,356635.0,55,Corporativo,Alta
336261.0,424270.0,33,Turista internacional,Baja
251350.0,410523.0,51,Turista internacional,Alta
183944.0,290599.0,34,Turista nacional,Baja
194059.0,302184.0,31,Turista nacional,Alta
262383.0,358752.0,36,Corporativo,Media
165006.0,230611.0,31,Grupo,Media
167305.0,279245.0,36,Corporativo,Media
183741.0,322481.0,48,Turista internacional,Alta
156889.0,219527.0,33,Corporativo,Muy baja
290597.0,358959.0,44,Corporativo,Media
159721.0,285528.0,51,Turista nacional,Alta
209820.0,334486.0,34,Grupo,Baja
