salario_mensual,horas_capacitacion,numero_ausencias,area_trabajo,nivel_desempeno
3580627.0,9.0,4,Tecnología,Deficiente
4554445.0,27.3,3,Finanzas,Bueno
4264338.0,3.9,1,Talento humano,Básico
4278935.0,5.6,2,Ventas,Básico
3716811.0,9.6,3,Ventas,Bueno
4423929.0,1.0,2,Finanzas,Deficiente
2395062.0,3.3,0,Ventas,Básico
2994315.0,9.5,0,Ventas,Básico
4665005.0,14.3,2,Finanzas,Bueno
3143670.0,12.6,1,Talento humano,Básico
3085117.0,20.9,0,Operaciones,Básico
3400858.0,27.5,2,Operaciones,Bueno
2477984.0,21.0,1,Operaciones,Básico
5044366.0,3.3,0,Ventas,Deficiente
2417479.0,5.3,0,Operaciones,Básico
5957469.0,0.2,1,Tecnología,Básico
3389476.0,5.8,0,Ventas,Básico
3870206.0,5.7,1,Ventas,Bueno
4665301.0,21.5,0,Finanzas,Bueno
2167826.0,8.7,4,Ventas,Bueno
2877436.0,32.4,4,Ventas,Básico
5562979.0,4.8,2,Talento humano,Básico
4668067.0,4.1,1,Tecnología,Básico
4462389.0,11.6,0,Finanzas,Básico
2518179.0,19.6,1,Operaciones,Bueno
2583080.0,5.8,1,Ventas,Básico
6208193.0,14.8,5,Tecnología,Deficiente
2934900.0,19.5,1,Finanzas,Bueno
3432011.0,18.2,2,Talento humano,Sobresaliente
3586725.0,2.6,0,Operaciones,Básico
2698797.0,10.3,2,Ventas,Básico
3366843.0,10.1,4,Ventas,Deficiente
2278331.0,20.5,1,Ventas,Sobresaliente
3629595.0,11.1,4,Ventas,Básico
3893243.0,3.9,6,Talento humano,Deficiente
3932926.0,21.0,4,Ventas,Deficiente
3785246.0,2.2,2,Talento humano,Básico
3935049.0,7.7,3,Tecnología,Deficiente
3482452.0,42.9,1,Ventas,Sobresaliente
4374385.0,11.8,2,Ventas,Bueno
4905028.0,9.3,0,Tecnología,Sobresaliente
3924149.0,7.9,2,Talento humano,Básico
5480501.0,15.2,3,Tecnología,Básico
2615838.0,12.1,4,Operaciones,Bueno
4489052.0,3.4,2,Operaciones,Básico
2804171.0,12.3,2,Ventas,Básico
2448171.0,5.3,3,Operaciones,Bueno
3687745.0,5.9,1,Operaciones,Básico
4183472.0,15.3,1,Tecnología,Básico
2316602.0,4.2,1,Operaciones,Deficiente
5123319.0,14.2,2,Tecnología,Deficiente
2877002.0,2.0,2,Talento humano,Básico
2634312.0,2.6,1,Operaciones,Bueno
3145657.0,13.0,0,Ventas,Bueno
2968580.0,7.7,1,Ventas,Básico
3065126.0,12.0,2,Talento humano,Bueno
3427972.0,28.5,3,Ventas,Bueno
3359445.0,14.1,3,Finanzas,Básico
3784974.0,4.4,1,Ventas,Bueno
2712262.0,21.2,0,Operaciones,Bueno
5202651.0,26.4,4,Finanzas,Básico
3972078.0,2.4,1,Ventas,Básico
5357838.0,16.0,1,Finanzas,Básico
2985929.0,8.2,4,Ventas,Básico
2668089.0,42.3,3,Talento humano,Sobresaliente
6452104.0,13.7,1,Talento humano,Básico
5985865.0,4.9,0,Talento humano,Básico
2962024.0,15.3,0,Operaciones,Básico
4095376.0,10.6,1,Talento humano,Básico
3663222.0,5.2,2,Ventas,Bueno
1896443.0,7.1,3,Operaciones,Básico
2759539.0,4.1,6,Operaciones,Deficiente
5054186.0,11.1,1,Tecnología,Básico
3625190.0,10.5,1,Talento humano,Deficiente
2364593.0,13.1,0,Operaciones,Bueno
3072938.0,11.5,3,Finanzas,Básico
3879154.0,9.0,1,Ventas,Deficiente
3370099.0,13.5,1,Talento humano,Bueno
2627335.0,9.0,2,Operaciones,Deficiente
2801032.0,14.8,2,Tecnología,Bueno
4055070.0,23.5,1,Talento humano,Bueno
3039819.0,7.7,2,Operaciones,Bueno
4402146.0,35.4,1,Talento humano,Sobresaliente
3086042.0,9.5,2,Operaciones,Básico
2766249.0,18.6,2,Ventas,Básico
2776553.0,11.3,1,Ventas,Básico
3198773.0,18.5,1,Finanzas,Sobresaliente
7130432.0,6.7,1,Tecnología,Básico
1958035.0,18.8,2,Ventas,Básico
3164252.0,15.6,0,Operaciones,Bueno
3164285.0,15.1,2,Ventas,Básico
5909671.0,14.2,2,Tecnología,Bueno
1803771.0,8.2,3,Talento humano,Deficiente
5000702.0,14.8,1,Finanzas,Básico
2443050.0,8.5,2,Finanzas,Básico
2605586.0,22.1,2,Ventas,Bueno
3367541.0,9.2,3,Talento humano,Básico
4786796.0,13.2,4,Finanzas,Básico
3356194.0,20.4,1,Ventas,Bueno
3282283.0,41.9,3,Ventas,Sobresaliente
2998782.0,10.9,0,Ventas,Bueno
2611102.0,4.6,2,Ventas,Bueno
3708627.0,13.2,2,Ventas,Bueno
5393572.0,4.9,0,Tecnología,Básico
3871312.0,8.3,1,Tecnología,Bueno
3008964.0,14.1,5,Operaciones,Deficiente
4388034.0,1.5,1,Finanzas,Deficiente
3202590.0,4.2,0,Operaciones,Bueno
5371960.0,4.2,2,Ventas,Deficiente
3105087.0,1.4,2,Finanzas,Básico
3700676.0,13.9,3,Talento humano,Deficiente
3832863.0,11.5,1,Talento humano,Bueno
3093608.0,2.6,3,Ventas,Deficiente
4770305.0,50.0,2,Tecnología,Sobresaliente
