costo_envio,tiempo_entrega_dias,numero_paquetes,transportadora,nivel_cumplimiento
97154.0,2.63,96,Interna,Medio
91718.0,2.97,87,Interna,Bajo
101705.0,3.81,81,Interna,Muy bajo
99967.0,3.12,93,Interna,Bajo
89690.0,2.39,82,Interna,Medio
122667.0,4.5,101,Operador A,Muy bajo
79686.0,0.98,84,Operador A,Muy alto
91357.0,2.95,76,Operador C,Bajo
91650.0,2.59,81,Operador B,Bajo
88984.0,3.57,75,Operador B,Medio
91498.0,2.88,84,Operador A,Medio
86552.0,1.55,87,Operador A,Muy alto
73928.0,2.05,85,Operador A,Alto
101283.0,2.24,89,Operador C,Medio
87809.0,0.65,95,Interna,Muy alto
98388.0,2.22,83,Operador B,Alto
74905.0,2.57,67,Operador C,Medio
108023.0,2.07,90,Interna,Alto
90625.0,2.35,83,Interna,Medio
85674.0,1.63,81,Operador A,Alto
108387.0,3.78,87,Operador A,Bajo
78730.0,3.68,72,Interna,Bajo
82452.0,1.9,74,Operador A,Medio
87046.0,2.59,81,Operador A,Bajo
84560.0,2.47,81,Operador B,Medio
86157.0,1.81,80,Operador A,Alto
102380.0,3.71,89,Operador A,Medio
111528.0,4.27,90,Interna,Bajo
93850.0,2.41,89,Operador B,Medio
95178.0,2.43,95,Interna,Medio
106849.0,3.96,96,Operador B,Muy bajo
115697.0,4.82,88,Operador C,Muy bajo
89037.0,3.16,76,Operador A,Bajo
98101.0,3.44,83,Operador C,Bajo
100819.0,3.59,89,Operador B,Bajo
88312.0,2.91,78,Operador A,Medio
91191.0,3.42,82,Operador B,Muy bajo
96886.0,4.03,68,Operador A,Muy bajo
93793.0,2.5,91,Interna,Medio
85407.0,2.3,80,Operador C,Medio
94608.0,3.49,75,Interna,Bajo
101165.0,3.66,90,Operador A,Bajo
88815.0,2.96,92,Interna,Bajo
97415.0,1.52,92,Operador B,Medio
109608.0,2.53,94,Operador C,Medio
92477.0,1.82,83,Operador B,Alto
102505.0,2.62,105,Interna,Medio
81340.0,2.16,84,Operador A,Alto
98521.0,2.46,89,Operador C,Medio
108530.0,3.1,96,Operador A,Bajo
100894.0,3.41,84,Operador B,Bajo
114295.0,2.75,93,Operador A,Medio
80504.0,2.49,69,Operador B,Medio
85624.0,1.9,83,Operador A,Alto
86696.0,2.79,81,Operador C,Medio
91754.0,1.7,82,Operador B,Medio
93109.0,1.81,77,Operador A,Alto
83311.0,2.67,74,Operador A,Bajo
99475.0,2.16,86,Operador A,Alto
94846.0,1.58,85,Operador B,Muy alto
98703.0,2.0,90,Operador B,Muy alto
88144.0,1.08,84,Operador C,Muy alto
74513.0,3.54,69,Operador A,Bajo
87778.0,2.95,86,Operador B,Medio
97606.0,3.01,77,Operador A,Medio
90209.0,2.78,74,Operador C,Bajo
115438.0,2.68,94,Interna,Medio
103335.0,2.31,96,Operador A,Alto
78527.0,2.6,78,Operador A,Alto
81908.0,3.28,72,Operador B,Medio
80636.0,1.18,74,Operador B,Muy alto
86401.0,2.27,82,Operador C,Alto
98025.0,2.49,93,Operador A,Medio
92637.0,2.73,79,Operador A,Medio
87808.0,2.23,75,Operador A,Alto
84604.0,2.0,77,Interna,Alto
95260.0,2.58,95,Operador B,Medio
72543.0,0.95,62,Operador B,Muy alto
96931.0,3.01,86,Operador B,Bajo
117290.0,1.67,98,Operador B,Alto
92849.0,2.59,82,Operador A,Bajo
76666.0,2.51,66,Operador B,Medio
88596.0,2.5,81,Interna,Alto
95078.0,2.25,88,Operador B,Medio
90183.0,2.56,80,Operador C,Bajo
104456.0,1.37,95,Operador B,Alto
101861.0,3.88,82,Interna,Muy bajo
98897.0,1.27,92,Operador A,Muy alto
77019.0,3.26,61,Interna,Medio
93590.0,2.31,80,Operador A,Medio
86356.0,3.67,90,Operador A,Muy bajo
102393.0,3.29,88,Operador A,Bajo
108812.0,2.79,100,Operador A,Bajo
85396.0,2.78,83,Operador C,Medio
82200.0,2.16,78,Operador A,Alto
91891.0,2.79,93,Interna,Alto
86723.0,2.24,86,Interna,Alto
122038.0,3.0,106,Operador A,Medio
98420.0,1.86,87,Interna,Alto
79987.0,3.26,67,Operador C,Bajo
107387.0,4.18,93,Operador C,Muy bajo
108369.0,3.78,94,Operador B,Bajo
97769.0,4.13,80,Operador A,Muy bajo
105971.0,2.81,112,Operador A,Medio
97622.0,1.9,95,Interna,Medio
84197.0,2.93,81,Interna,Medio
92245.0,4.07,79,Operador A,Muy bajo
75329.0,2.84,70,Operador A,Bajo
76917.0,2.64,71,Operador A,Medio
98601.0,3.68,81,Interna,Muy bajo
104707.0,4.85,98,Interna,Muy bajo
81019.0,2.86,79,Operador A,Bajo
108633.0,3.17,89,Interna,Bajo
102813.0,2.07,94,Interna,Alto
109256.0,3.24,84,Operador C,Bajo
99010.0,3.35,79,Operador B,Medio
77504.0,2.54,66,Operador B,Medio
107468.0,4.67,94,Operador C,Muy bajo
115979.0,2.0,101,Operador A,Alto
92685.0,2.39,92,Operador B,Medio
93193.0,3.23,80,Operador C,Bajo
94315.0,1.86,95,Operador B,Muy alto
94282.0,2.22,88,Interna,Alto
106327.0,3.82,97,Operador A,Muy bajo
106443.0,4.19,93,Interna,Bajo
83849.0,2.35,80,Operador A,Alto
93562.0,1.98,92,Operador A,Alto
90090.0,2.39,84,Operador A,Medio
100802.0,2.59,90,Interna,Medio
108110.0,3.75,95,Interna,Muy bajo
85218.0,2.79,76,Interna,Medio
81100.0,3.75,76,Operador B,Medio
92215.0,4.16,86,Operador A,Muy bajo
85467.0,3.15,70,Operador A,Bajo
85901.0,2.47,81,Interna,Alto
90955.0,3.01,81,Operador C,Medio
99990.0,4.8,89,Operador C,Muy bajo
97203.0,3.2,92,Interna,Medio
106681.0,2.55,88,Operador B,Bajo
94176.0,3.48,81,Operador C,Alto
86065.0,2.52,91,Operador A,Medio
100682.0,3.57,102,Operador C,Bajo
89894.0,3.38,82,Operador B,Bajo
84817.0,3.42,69,Operador A,Muy bajo
75082.0,1.05,79,Operador A,Alto
81157.0,0.84,79,Interna,Muy alto
101379.0,3.48,84,Operador A,Muy bajo
95609.0,2.47,87,Operador A,Alto
124337.0,2.2,102,Operador A,Medio
102862.0,2.48,82,Operador B,Alto
80166.0,1.83,91,Interna,Muy alto
101593.0,3.73,87,Operador A,Muy bajo
90126.0,1.83,81,Operador B,Alto
80291.0,3.07,81,Interna,Bajo
107943.0,4.75,88,Operador C,Bajo
94010.0,2.8,78,Interna,Medio
61274.0,1.85,69,Operador B,Alto
106474.0,3.15,89,Operador A,Medio
102353.0,1.85,84,Operador A,Medio
100060.0,4.42,87,Operador C,Bajo
87917.0,3.44,81,Interna,Muy bajo
74727.0,3.01,74,Interna,Bajo
102025.0,2.42,90,Operador A,Medio
104939.0,2.83,87,Operador C,Medio
81350.0,2.96,76,Operador A,Medio
105649.0,2.58,84,Operador B,Medio
90858.0,3.09,81,Operador A,Muy bajo
93076.0,2.91,78,Interna,Medio
71182.0,2.1,65,Interna,Medio
104172.0,3.05,90,Operador C,Bajo
98991.0,3.05,101,Operador A,Bajo
83534.0,0.89,92,Interna,Alto
98310.0,2.87,80,Interna,Medio
96726.0,4.85,81,Interna,Muy bajo
99220.0,2.7,85,Operador B,Medio
96990.0,4.36,76,Operador B,Muy bajo
87414.0,2.3,93,Interna,Medio
73391.0,2.34,76,Operador A,Alto
89327.0,3.1,77,Operador A,Bajo
100164.0,1.79,92,Interna,Medio
78656.0,2.09,78,Operador A,Alto
101042.0,1.58,87,Operador C,Muy alto
88530.0,1.69,81,Operador A,Alto
108867.0,3.25,95,Operador A,Medio
90433.0,1.86,83,Operador A,Medio
96211.0,4.1,94,Interna,Bajo
87023.0,2.3,86,Operador C,Medio
100962.0,3.42,87,Operador B,Bajo
89717.0,3.55,80,Operador C,Bajo
101054.0,3.46,95,Operador B,Bajo
93564.0,2.52,86,Operador B,Medio
96898.0,3.75,87,Operador B,Bajo
114521.0,1.93,97,Operador A,Alto
104524.0,1.93,95,Operador A,Alto
89306.0,2.73,74,Interna,Medio
89538.0,4.35,73,Operador B,Bajo
81231.0,1.27,69,Operador A,Alto
91625.0,3.95,86,Operador A,Muy bajo
73999.0,1.81,72,Operador C,Alto
96222.0,2.52,92,Operador A,Alto
