ingresos_digitales,gasto_marketing,nuevos_clientes,plataforma_principal,nivel_crecimiento
13261749.0,3921571.0,25,Instagram,Moderado
5554797.0,1884149.0,40,Instagram,Alto
6824218.0,3786247.0,44,Google,Alto
5792563.0,2342751.0,43,Marketplace,Alto
10995491.0,3447062.0,48,TikTok,Acelerado
9945672.0,5352810.0,40,Google,Moderado
11669335.0,4879226.0,50,Google,Acelerado
6271886.0,2109864.0,48,TikTok,Alto
8266371.0,4855595.0,44,Google,Negativo
8629411.0,3494773.0,43,TikTok,Acelerado
12213431.0,5771921.0,46,Google,Alto
9050050.0,5391005.0,33,Instagram,Moderado
5078371.0,2653808.0,37,Instagram,Moderado
13575483.0,3653407.0,49,TikTok,Acelerado
18411926.0,5544676.0,56,TikTok,Acelerado
6478103.0,4284876.0,42,Google,Moderado
15563692.0,4525585.0,43,TikTok,Acelerado
13648061.0,6793888.0,49,Google,Moderado
24308066.0,8961943.0,47,Marketplace,Alto
4617271.0,1887529.0,39,Marketplace,Moderado
14225047.0,7244816.0,52,Google,Moderado
10805772.0,4602933.0,42,Google,Alto
23682498.0,7142209.0,45,Instagram,Acelerado
8958880.0,2905091.0,35,TikTok,Alto
9458662.0,3209135.0,39,Google,Alto
4688389.0,2250501.0,36,Google,Bajo
14296213.0,6419561.0,45,Marketplace,Moderado
7406443.0,2250420.0,34,Instagram,Alto
18808325.0,5421543.0,55,TikTok,Acelerado
11161995.0,3778725.0,34,Marketplace,Alto
6295209.0,2981824.0,52,Marketplace,Moderado
7181849.0,3112335.0,55,TikTok,Acelerado
9091717.0,3931176.0,47,TikTok,Alto
19084878.0,6857913.0,47,TikTok,Alto
12369448.0,5945377.0,37,Google,Moderado
21538386.0,7304360.0,39,TikTok,Moderado
18123141.0,7007688.0,46,Google,Alto
18168534.0,5324463.0,53,TikTok,Acelerado
18237568.0,5619262.0,52,Google,Alto
9765865.0,6289716.0,51,Google,Alto
23842323.0,8420631.0,41,Instagram,Acelerado
8445519.0,2599301.0,44,Google,Acelerado
10236981.0,4349678.0,33,Instagram,Alto
18915686.0,5704041.0,46,TikTok,Acelerado
8958369.0,5168313.0,35,Marketplace,Bajo
17990660.0,6936168.0,35,Instagram,Alto
9326521.0,3115818.0,52,TikTok,Acelerado
11231431.0,5586474.0,38,Instagram,Alto
10397620.0,4661981.0,42,Instagram,Moderado
7830064.0,2490964.0,40,Instagram,Alto
12065839.0,5660003.0,48,Instagram,Alto
28836320.0,9238389.0,31,Instagram,Alto
8347441.0,3548624.0,42,Instagram,Alto
32933874.0,10484839.0,38,Instagram,Alto
