costo_unitario,tiempo_produccion_min,numero_defectos,linea_producto,nivel_calidad
20892.0,56.2,1,Alimentos,Alta
11887.0,47.4,2,Aseo,Excelente
25414.0,68.5,4,Empaque,Alta
21833.0,40.0,7,Aseo,Alta
24996.0,54.9,7,Alimentos,Media
28293.0,63.6,6,Textil,Baja
26779.0,50.5,3,Empaque,Alta
21136.0,25.0,3,Alimentos,Excelente
26786.0,66.2,9,Alimentos,Baja
30698.0,56.4,5,Alimentos,Alta
22938.0,40.8,5,Empaque,Alta
21349.0,50.5,4,Aseo,Alta
31400.0,66.7,6,Textil,Baja
19926.0,36.1,2,Aseo,Excelente
32490.0,40.1,7,Empaque,Media
15642.0,57.1,5,Alimentos,Media
30861.0,43.0,7,Empaque,Alta
18860.0,53.4,3,Aseo,Excelente
22535.0,57.0,7,Empaque,Alta
24799.0,31.0,7,Textil,Media
21783.0,30.8,3,Aseo,Excelente
31972.0,67.1,5,Textil,Alta
22069.0,67.2,5,Alimentos,Baja
20882.0,56.2,8,Empaque,Media
19435.0,57.2,4,Empaque,Excelente
25557.0,61.9,7,Alimentos,Media
26280.0,79.4,5,Aseo,Media
22116.0,54.3,7,Alimentos,Alta
22601.0,54.0,5,Empaque,Media
25852.0,53.3,8,Textil,Baja
21559.0,48.8,8,Alimentos,Alta
12900.0,51.7,3,Aseo,Alta
28837.0,67.4,6,Textil,Media
15491.0,69.6,4,Empaque,Media
18519.0,72.8,9,Alimentos,Baja
23518.0,36.9,2,Alimentos,Excelente
20625.0,38.2,4,Alimentos,Excelente
22232.0,52.6,3,Aseo,Alta
31827.0,54.4,7,Empaque,Media
26588.0,59.2,3,Alimentos,Media
19204.0,51.1,10,Empaque,Media
19902.0,34.5,3,Aseo,Excelente
16032.0,43.0,2,Aseo,Excelente
30884.0,66.8,6,Empaque,Media
26167.0,51.0,4,Alimentos,Alta
22778.0,59.4,5,Empaque,Alta
28920.0,52.7,10,Alimentos,Media
23063.0,80.5,9,Textil,Media
26130.0,62.2,7,Aseo,Media
27057.0,68.0,6,Empaque,Media
26188.0,52.8,8,Textil,Media
20991.0,53.9,8,Empaque,Alta
17214.0,47.2,4,Textil,Excelente
24113.0,59.8,8,Textil,Media
14287.0,52.2,5,Alimentos,Media
22784.0,39.7,7,Empaque,Alta
28156.0,53.4,4,Aseo,Alta
27048.0,64.8,7,Empaque,Media
