ingreso_mensual_hogar,gasto_alimentos,numero_dependientes,zona_residencia,nivel_socioeconomico
1606939.0,810390.0,3,Urbana periférica,Bajo
4489494.0,1927824.0,1,Urbana central,Medio
4819947.0,1038078.0,1,Urbana central,Medio-bajo
1290758.0,503974.0,2,Municipio intermedio,Medio-bajo
3482840.0,1440187.0,1,Urbana periférica,Medio-bajo
5817260.0,1782864.0,0,Municipio intermedio,Medio-bajo
3882196.0,1375040.0,2,Urbana periférica,Medio
19166537.0,4128052.0,2,Urbana central,Medio-bajo
5180131.0,1898219.0,7,Urbana periférica,Bajo
7548330.0,2424684.0,1,Urbana central,Bajo
2091688.0,1240279.0,3,Urbana central,Bajo
6928896.0,3091998.0,4,Rural,Medio-bajo
4653466.0,2065224.0,2,Urbana periférica,Medio-bajo
5048666.0,1587395.0,2,Urbana central,Medio-bajo
6959882.0,3139610.0,3,Rural,Medio
3108525.0,1347996.0,3,Rural,Medio-bajo
6476203.0,1894980.0,3,Municipio intermedio,Medio
4676636.0,1308242.0,3,Rural,Bajo
4309205.0,1614394.0,0,Rural,Medio-bajo
5665311.0,2531231.0,3,Urbana periférica,Medio-bajo
14843610.0,4592367.0,2,Municipio intermedio,Medio
2202735.0,1026099.0,1,Urbana central,Medio-bajo
2325151.0,1165350.0,5,Urbana central,Bajo
3912089.0,1075966.0,2,Urbana periférica,Medio-bajo
12506790.0,2954695.0,1,Urbana periférica,Medio-alto
12365016.0,3511907.0,0,Urbana central,Medio
6095705.0,1444174.0,1,Urbana central,Medio-alto
2292959.0,1200700.0,4,Rural,Bajo
3017776.0,1273306.0,1,Urbana central,Medio
5065116.0,1801409.0,1,Municipio intermedio,Bajo
10102245.0,2792223.0,0,Municipio intermedio,Medio
7892000.0,1949532.0,1,Urbana central,Medio-bajo
5984480.0,1958905.0,2,Municipio intermedio,Medio
4131406.0,1385898.0,1,Rural,Medio
6056776.0,1558472.0,0,Rural,Medio
3489633.0,1576654.0,5,Urbana periférica,Bajo
7526597.0,3103463.0,0,Urbana periférica,Medio-alto
10452651.0,4130478.0,6,Urbana central,Bajo
15658834.0,6520489.0,3,Urbana periférica,Medio
2018632.0,1001379.0,5,Urbana central,Bajo
2612133.0,1501829.0,5,Urbana central,Bajo
4522132.0,1269722.0,4,Urbana periférica,Bajo
1851591.0,786196.0,1,Municipio intermedio,Medio-bajo
4849092.0,1988080.0,0,Rural,Medio-bajo
2874869.0,1103537.0,4,Urbana periférica,Bajo
9099221.0,3022254.0,5,Urbana periférica,Medio-bajo
5596521.0,2631042.0,2,Municipio intermedio,Medio
5948055.0,2041497.0,1,Urbana central,Medio-bajo
4646700.0,1244977.0,3,Rural,Medio-bajo
7595364.0,2600733.0,3,Urbana periférica,Medio
1741540.0,538462.0,1,Municipio intermedio,Bajo
3063628.0,828595.0,1,Urbana periférica,Medio
1922513.0,533141.0,0,Municipio intermedio,Bajo
2619347.0,676775.0,2,Urbana periférica,Medio-bajo
6504217.0,1989326.0,0,Urbana central,Medio-bajo
1668521.0,1010721.0,3,Urbana central,Bajo
25062349.0,8000000.0,4,Municipio intermedio,Medio
13425257.0,4472744.0,6,Urbana central,Medio-bajo
11272249.0,4006004.0,3,Urbana central,Medio-bajo
2090732.0,879682.0,1,Urbana central,Bajo
2372787.0,945842.0,1,Urbana central,Bajo
2661370.0,1426103.0,5,Municipio intermedio,Bajo
2270756.0,708548.0,2,Municipio intermedio,Medio-bajo
3221659.0,1368893.0,4,Urbana periférica,Bajo
2417364.0,929312.0,2,Urbana central,Bajo
5475434.0,1896712.0,2,Urbana central,Medio
3788866.0,1577483.0,1,Urbana central,Bajo
4735706.0,1267744.0,3,Urbana periférica,Medio-bajo
6696360.0,2706847.0,2,Municipio intermedio,Medio
4206352.0,1844189.0,2,Municipio intermedio,Medio
4988407.0,1676942.0,2,Urbana central,Medio-bajo
5855764.0,2309861.0,2,Urbana periférica,Medio-bajo
5286185.0,2365193.0,3,Municipio intermedio,Medio-bajo
15979919.0,3668142.0,2,Municipio intermedio,Medio
1169632.0,573347.0,1,Municipio intermedio,Bajo
21804092.0,8000000.0,1,Municipio intermedio,Alto
11365355.0,2572660.0,0,Urbana periférica,Medio-alto
4166243.0,2013735.0,4,Urbana periférica,Medio
14294734.0,2886000.0,0,Municipio intermedio,Medio-alto
9526613.0,3468853.0,2,Urbana central,Medio-bajo
6673344.0,2965681.0,2,Urbana central,Medio
3102614.0,1183297.0,0,Urbana periférica,Medio-bajo
3855295.0,1958402.0,5,Municipio intermedio,Bajo
12153578.0,2368168.0,1,Urbana periférica,Medio-alto
3012462.0,818124.0,0,Urbana central,Medio
5048206.0,2058474.0,3,Municipio intermedio,Bajo
15237077.0,3221045.0,1,Rural,Medio
11269144.0,3735868.0,1,Municipio intermedio,Medio-alto
3481097.0,1419134.0,4,Rural,Bajo
2291774.0,895896.0,0,Urbana central,Medio-bajo
4281225.0,1373020.0,2,Municipio intermedio,Medio-bajo
3248114.0,1065938.0,2,Rural,Bajo
9196107.0,1829117.0,1,Rural,Medio-alto
2643486.0,796718.0,0,Urbana central,Medio-bajo
4630576.0,2322367.0,4,Urbana periférica,Bajo
8907517.0,3103164.0,1,Urbana periférica,Medio-alto
7568142.0,1480532.0,1,Rural,Medio
4817075.0,1300307.0,0,Municipio intermedio,Medio-bajo
11971189.0,4286116.0,0,Municipio intermedio,Medio-alto
1837343.0,1156791.0,4,Urbana periférica,Bajo
3921168.0,1400351.0,2,Rural,Medio
4856280.0,1153941.0,0,Urbana periférica,Medio
3377757.0,1471115.0,1,Rural,Medio
7406755.0,2863701.0,1,Urbana periférica,Medio
6141276.0,1512801.0,3,Urbana periférica,Medio-bajo
11510578.0,4373719.0,2,Urbana central,Medio-alto
2191006.0,783955.0,2,Municipio intermedio,Medio-bajo
3689524.0,1373720.0,5,Rural,Bajo
6703604.0,1985222.0,3,Municipio intermedio,Medio
1786503.0,853898.0,2,Urbana central,Bajo
5210441.0,2195391.0,1,Urbana periférica,Bajo
5092502.0,1627853.0,3,Urbana central,Medio-bajo
6765559.0,1570667.0,2,Urbana periférica,Bajo
6475997.0,1645619.0,0,Urbana periférica,Medio
5153903.0,1769450.0,3,Urbana periférica,Medio-bajo
1577731.0,995197.0,3,Rural,Bajo
5507960.0,2235384.0,2,Municipio intermedio,Bajo
3573438.0,877571.0,1,Urbana central,Medio-bajo
3503127.0,1009654.0,2,Municipio intermedio,Bajo
5264950.0,1184481.0,1,Rural,Medio
11841080.0,3835756.0,0,Urbana central,Medio
3388766.0,1345592.0,1,Urbana periférica,Medio-bajo
1614917.0,834622.0,2,Urbana central,Bajo
3242698.0,914932.0,1,Urbana periférica,Medio-bajo
6979463.0,1648543.0,3,Urbana central,Medio-bajo
15309766.0,5739738.0,1,Urbana periférica,Medio
9174029.0,2177708.0,2,Rural,Medio
7445700.0,3377651.0,6,Urbana periférica,Medio
4760796.0,2056437.0,3,Urbana periférica,Medio-bajo
7291293.0,2898042.0,3,Urbana periférica,Medio-bajo
18752216.0,3918792.0,2,Urbana periférica,Medio-alto
6976705.0,3011499.0,4,Municipio intermedio,Bajo
2346368.0,767404.0,1,Urbana central,Medio-bajo
8160042.0,3140593.0,4,Urbana periférica,Medio-bajo
3810001.0,1557202.0,1,Urbana central,Bajo
5399664.0,1681430.0,2,Urbana periférica,Medio-bajo
2821626.0,1150024.0,2,Rural,Medio-bajo
3709353.0,1310919.0,1,Urbana central,Medio-alto
6613865.0,1772125.0,1,Municipio intermedio,Medio
2743181.0,993190.0,1,Urbana periférica,Medio-bajo
4807917.0,2412931.0,5,Urbana central,Bajo
4679072.0,1546709.0,2,Rural,Medio-bajo
1186544.0,590593.0,2,Rural,Bajo
4059022.0,1350802.0,3,Urbana periférica,Bajo
4542121.0,1756633.0,0,Municipio intermedio,Medio-bajo
12794805.0,4985911.0,1,Rural,Medio-bajo
3692060.0,762712.0,0,Urbana central,Medio-bajo
2927826.0,998348.0,3,Urbana central,Medio-bajo
7629417.0,3078306.0,1,Urbana central,Medio
11425029.0,3738418.0,1,Urbana central,Medio
9193173.0,3838754.0,2,Urbana periférica,Medio-bajo
5526294.0,2080077.0,1,Urbana central,Medio
6377058.0,2778429.0,2,Urbana periférica,Medio-bajo
4093653.0,1369373.0,1,Rural,Medio-bajo
4368944.0,1414785.0,3,Urbana central,Medio
4574822.0,1903092.0,0,Urbana central,Medio-bajo
4438938.0,1935749.0,2,Municipio intermedio,Medio-bajo
2577903.0,766130.0,0,Urbana central,Medio-bajo
6671036.0,2968553.0,2,Urbana central,Medio
3668848.0,1160185.0,0,Urbana central,Medio-bajo
3617354.0,874504.0,1,Urbana periférica,Medio
7108556.0,1309704.0,0,Rural,Medio
4450980.0,1878096.0,7,Urbana periférica,Bajo
3152752.0,1072238.0,1,Municipio intermedio,Bajo
8408359.0,2145921.0,1,Urbana periférica,Medio
15046406.0,6172053.0,0,Municipio intermedio,Medio
6288167.0,2313146.0,1,Urbana central,Medio
4734451.0,2243567.0,2,Urbana periférica,Bajo
5391076.0,2120608.0,1,Municipio intermedio,Medio-bajo
6393057.0,2910761.0,5,Municipio intermedio,Bajo
3510335.0,1747996.0,4,Municipio intermedio,Bajo
9585301.0,2349127.0,3,Urbana central,Medio-bajo
13755247.0,3309739.0,1,Urbana central,Medio
6441744.0,2160242.0,1,Urbana periférica,Bajo
2313118.0,716940.0,2,Urbana central,Medio-bajo
1819867.0,633887.0,0,Urbana central,Bajo
8649435.0,3435136.0,2,Urbana central,Medio-alto
7270851.0,2281004.0,1,Municipio intermedio,Medio-bajo
4456788.0,1281491.0,0,Municipio intermedio,Medio-bajo
8204483.0,2400521.0,0,Rural,Medio-bajo
3711968.0,793950.0,2,Municipio intermedio,Medio-bajo
1930759.0,658317.0,0,Municipio intermedio,Bajo
6087503.0,1293771.0,1,Urbana central,Medio
5781962.0,1819485.0,0,Urbana periférica,Medio
2468047.0,1022265.0,2,Municipio intermedio,Bajo
3354792.0,1095144.0,2,Urbana central,Bajo
9765680.0,3141557.0,2,Municipio intermedio,Medio-bajo
6294522.0,2691947.0,2,Urbana central,Medio
4323796.0,1166698.0,3,Urbana central,Medio-bajo
5097570.0,1230077.0,3,Urbana periférica,Medio-bajo
1775903.0,1073647.0,4,Urbana periférica,Bajo
8726897.0,1834320.0,2,Urbana central,Medio-bajo
2993979.0,1098484.0,3,Municipio intermedio,Medio-bajo
3400188.0,804038.0,1,Urbana central,Medio-bajo
5656910.0,2341892.0,1,Urbana periférica,Medio-bajo
1885626.0,1085779.0,4,Urbana central,Bajo
8048019.0,2537437.0,1,Urbana periférica,Medio
8559117.0,2403457.0,3,Urbana periférica,Medio-bajo
3709217.0,1264739.0,2,Rural,Medio
2817993.0,1071167.0,0,Urbana central,Medio
