ingreso_laboral,horas_trabajadas_semana,empleos_previos,sector_laboral,satisfaccion_laboral
4486505.0,39.3,1,Servicios,Muy satisfecho
6860638.0,39.9,4,Sector público,Muy satisfecho
7143868.0,22.1,1,Servicios,Satisfecho
2737356.0,40.9,3,Sector público,Satisfecho
6258123.0,26.7,2,Industria,Muy satisfecho
3631763.0,48.5,5,Servicios,Satisfecho
2167852.0,45.3,2,Comercio,Satisfecho
2503441.0,43.7,1,Comercio,Satisfecho
3720533.0,40.0,3,Servicios,Muy satisfecho
3266144.0,46.2,2,Comercio,Satisfecho
4372382.0,48.0,6,Comercio,Muy satisfecho
3357542.0,43.3,4,Comercio,Muy satisfecho
4206824.0,48.9,4,Servicios,Muy satisfecho
8680999.0,34.7,4,Servicios,Muy satisfecho
2974885.0,37.9,3,Industria,Satisfecho
2649678.0,43.5,2,Comercio,Satisfecho
2166921.0,27.9,4,Servicios,Satisfecho
2025096.0,46.3,3,Servicios,Satisfecho
4942054.0,39.0,2,Tecnología,Muy satisfecho
2073777.0,43.2,9,Comercio,Satisfecho
4149517.0,42.3,3,Comercio,Muy satisfecho
4856037.0,54.1,2,Comercio,Satisfecho
7915901.0,39.6,4,Servicios,Muy satisfecho
1915668.0,47.9,1,Servicios,Neutral
1494894.0,31.3,2,Industria,Insatisfecho
4397254.0,24.4,2,Industria,Neutral
5704897.0,42.4,0,Tecnología,Muy satisfecho
4001170.0,43.7,5,Servicios,Satisfecho
4543646.0,32.4,1,Sector público,Neutral
3848667.0,42.1,1,Comercio,Muy satisfecho
2672077.0,47.8,1,Comercio,Neutral
2653576.0,45.4,2,Comercio,Satisfecho
1943767.0,47.6,0,Servicios,Satisfecho
4981884.0,45.6,3,Comercio,Muy satisfecho
2948559.0,41.3,1,Comercio,Muy satisfecho
6419087.0,53.1,2,Servicios,Muy satisfecho
3717899.0,44.0,4,Sector público,Muy satisfecho
4484816.0,33.1,2,Tecnología,Neutral
7804710.0,50.7,2,Sector público,Satisfecho
2776942.0,41.4,1,Comercio,Satisfecho
3003304.0,41.5,2,Sector público,Muy satisfecho
1821012.0,41.0,4,Servicios,Neutral
4359073.0,49.4,3,Comercio,Muy satisfecho
4552216.0,41.9,3,Servicios,Muy satisfecho
3987121.0,40.8,8,Tecnología,Muy satisfecho
5067856.0,47.3,5,Tecnología,Muy satisfecho
4538563.0,35.6,0,Servicios,Satisfecho
4549443.0,39.0,0,Comercio,Muy satisfecho
3178354.0,43.1,5,Comercio,Satisfecho
7716952.0,47.1,2,Servicios,Muy satisfecho
6968454.0,46.2,1,Tecnología,Muy satisfecho
3145558.0,54.7,3,Servicios,Neutral
5326803.0,37.9,3,Servicios,Satisfecho
1407383.0,45.3,2,Servicios,Neutral
1905464.0,32.6,3,Comercio,Neutral
5423670.0,51.8,3,Tecnología,Muy satisfecho
2582641.0,45.1,3,Industria,Satisfecho
7163240.0,31.0,8,Tecnología,Muy satisfecho
1730115.0,33.0,4,Sector público,Insatisfecho
2246027.0,46.3,2,Comercio,Muy satisfecho
3143422.0,23.3,1,Industria,Neutral
5395693.0,29.8,1,Servicios,Neutral
3236289.0,40.3,6,Servicios,Muy satisfecho
2683932.0,54.7,0,Servicios,Satisfecho
4249828.0,37.8,3,Servicios,Satisfecho
2958623.0,42.7,0,Tecnología,Muy satisfecho
4032083.0,41.3,7,Sector público,Muy satisfecho
4835447.0,31.8,0,Comercio,Satisfecho
3797775.0,29.0,1,Industria,Muy satisfecho
5935434.0,47.8,3,Comercio,Muy satisfecho
10323528.0,33.5,1,Comercio,Muy satisfecho
3325031.0,40.8,3,Industria,Muy satisfecho
2523925.0,47.3,5,Sector público,Satisfecho
2211685.0,47.6,3,Comercio,Neutral
7290747.0,46.6,2,Comercio,Muy satisfecho
4854745.0,44.5,3,Sector público,Muy satisfecho
3670939.0,33.4,4,Servicios,Satisfecho
3148393.0,41.6,2,Industria,Satisfecho
3424038.0,38.3,1,Servicios,Muy satisfecho
5568596.0,47.5,1,Tecnología,Satisfecho
2179670.0,29.8,3,Servicios,Neutral
3146045.0,34.3,2,Industria,Muy satisfecho
4764615.0,34.4,4,Industria,Muy satisfecho
2835244.0,62.2,1,Comercio,Neutral
5744219.0,55.6,2,Tecnología,Neutral
4688412.0,32.9,3,Comercio,Satisfecho
3995495.0,47.2,2,Servicios,Muy satisfecho
2944860.0,43.7,4,Servicios,Muy satisfecho
3669569.0,45.2,4,Industria,Satisfecho
3296360.0,50.5,1,Comercio,Satisfecho
3767802.0,62.2,3,Comercio,Insatisfecho
4238498.0,40.8,2,Servicios,Muy satisfecho
2037622.0,54.4,6,Comercio,Insatisfecho
7645646.0,43.7,2,Tecnología,Muy satisfecho
1301937.0,47.3,5,Industria,Insatisfecho
3340939.0,40.7,3,Industria,Satisfecho
4515129.0,39.1,2,Industria,Muy satisfecho
3326161.0,43.6,3,Comercio,Muy satisfecho
3512179.0,48.7,2,Sector público,Satisfecho
2552310.0,47.4,3,Comercio,Neutral
3716561.0,50.1,3,Servicios,Satisfecho
4947881.0,39.0,5,Tecnología,Muy satisfecho
4745801.0,46.5,5,Servicios,Satisfecho
2667519.0,35.9,4,Comercio,Satisfecho
2968750.0,35.5,4,Servicios,Satisfecho
6852300.0,40.6,3,Industria,Muy satisfecho
3491970.0,33.8,2,Industria,Neutral
1584351.0,55.4,2,Comercio,Neutral
1226288.0,39.9,1,Servicios,Insatisfecho
8564070.0,45.9,7,Industria,Muy satisfecho
5137002.0,42.5,3,Tecnología,Muy satisfecho
3707580.0,50.9,1,Industria,Muy satisfecho
2755023.0,30.3,2,Sector público,Muy satisfecho
2513144.0,42.0,3,Servicios,Satisfecho
2741523.0,49.1,1,Comercio,Satisfecho
4479426.0,35.5,2,Sector público,Muy satisfecho
1896512.0,30.6,2,Servicios,Satisfecho
8084016.0,43.9,4,Industria,Muy satisfecho
2329123.0,46.3,1,Comercio,Muy satisfecho
3646755.0,52.3,3,Comercio,Satisfecho
3372145.0,31.2,7,Servicios,Satisfecho
3038885.0,38.0,5,Servicios,Satisfecho
6832956.0,60.5,1,Tecnología,Insatisfecho
6675897.0,37.8,2,Tecnología,Muy satisfecho
3972907.0,44.5,0,Comercio,Muy satisfecho
2191422.0,52.0,2,Comercio,Neutral
6215223.0,42.5,1,Sector público,Muy satisfecho
3572121.0,31.2,2,Sector público,Satisfecho
7828639.0,51.2,1,Tecnología,Muy satisfecho
2174916.0,44.6,2,Comercio,Satisfecho
6181816.0,48.1,2,Tecnología,Muy satisfecho
4114228.0,45.7,2,Servicios,Muy satisfecho
5293263.0,50.2,0,Industria,Satisfecho
2158263.0,42.2,2,Servicios,Muy satisfecho
6641273.0,53.2,2,Tecnología,Muy satisfecho
6418846.0,32.9,1,Tecnología,Muy satisfecho
2665518.0,39.1,4,Servicios,Muy satisfecho
2127205.0,37.9,2,Servicios,Satisfecho
5544442.0,46.8,3,Comercio,Muy satisfecho
12383508.0,38.0,1,Sector público,Muy satisfecho
2791082.0,50.9,0,Servicios,Muy satisfecho
2119186.0,34.0,2,Comercio,Neutral
8113720.0,38.3,2,Sector público,Muy satisfecho
5708345.0,41.8,1,Tecnología,Muy satisfecho
1873300.0,36.5,1,Servicios,Muy satisfecho
2713938.0,41.0,3,Sector público,Muy satisfecho
2333794.0,29.3,1,Sector público,Satisfecho
4774263.0,37.2,4,Industria,Muy satisfecho
4545078.0,53.4,3,Servicios,Neutral
8807144.0,34.2,4,Servicios,Muy satisfecho
2415350.0,50.2,1,Industria,Neutral
4303003.0,48.5,7,Comercio,Muy satisfecho
3548474.0,33.4,2,Comercio,Muy satisfecho
1565621.0,52.7,3,Comercio,Satisfecho
5183729.0,45.5,1,Tecnología,Muy satisfecho
4305786.0,39.4,1,Servicios,Muy satisfecho
2988683.0,47.7,4,Servicios,Neutral
1000000.0,43.9,1,Comercio,Neutral
4118080.0,30.4,3,Sector público,Neutral
4385743.0,48.8,2,Servicios,Muy satisfecho
5435928.0,44.1,1,Tecnología,Muy satisfecho
2356663.0,39.5,5,Industria,Satisfecho
2245000.0,59.9,4,Comercio,Insatisfecho
2206517.0,29.8,3,Industria,Neutral
1885960.0,45.1,5,Industria,Satisfecho
2658811.0,38.3,2,Servicios,Satisfecho
4568559.0,45.6,4,Comercio,Muy satisfecho
4032029.0,37.3,3,Sector público,Satisfecho
3963154.0,45.0,1,Industria,Muy satisfecho
5521477.0,49.9,5,Comercio,Satisfecho
9470466.0,54.2,2,Servicios,Muy satisfecho
1586585.0,59.6,4,Servicios,Insatisfecho
3174581.0,50.3,4,Comercio,Muy satisfecho
2758122.0,47.0,1,Comercio,Muy satisfecho
6363236.0,53.1,2,Industria,Satisfecho
5924624.0,49.3,8,Industria,Muy satisfecho
3223984.0,48.1,2,Industria,Satisfecho
3847266.0,46.8,2,Tecnología,Satisfecho
2563482.0,38.0,2,Industria,Satisfecho
2725525.0,44.9,0,Industria,Muy satisfecho
