venta_diaria,tiempo_servicio_min,numero_pedidos,tipo_dia,evaluacion_servicio
3852552.0,26.5,98,Viernes,Aceptable
3204120.0,14.4,76,Lunes-jueves,Buena
2888686.0,17.1,86,Sábado,Excelente
3511699.0,15.5,72,Lunes-jueves,Aceptable
1927229.0,23.3,46,Lunes-jueves,Aceptable
2822754.0,19.2,58,Lunes-jueves,Aceptable
3553214.0,22.3,63,Lunes-jueves,Buena
3748115.0,31.2,68,Lunes-jueves,Mala
4228330.0,26.5,100,Viernes,Aceptable
3518175.0,30.8,76,Lunes-jueves,Aceptable
3978944.0,17.8,77,Viernes,Aceptable
4747307.0,21.0,100,Sábado,Aceptable
3570594.0,22.1,93,Sábado,Buena
3292255.0,22.6,77,Lunes-jueves,Buena
3600945.0,19.3,84,Viernes,Buena
4409337.0,19.6,77,Domingo/festivo,Buena
3845825.0,20.9,85,Domingo/festivo,Aceptable
3652573.0,27.5,93,Sábado,Aceptable
3808456.0,17.9,74,Lunes-jueves,Buena
3325161.0,20.5,78,Viernes,Buena
4341355.0,21.2,95,Domingo/festivo,Aceptable
3613181.0,19.3,75,Lunes-jueves,Aceptable
4525701.0,21.2,98,Viernes,Mala
3004947.0,8.9,67,Lunes-jueves,Excelente
3843400.0,21.5,83,Lunes-jueves,Aceptable
3441723.0,17.2,70,Viernes,Aceptable
2884763.0,23.6,68,Lunes-jueves,Buena
3423295.0,13.8,71,Lunes-jueves,Excelente
4917692.0,23.7,105,Sábado,Aceptable
4353198.0,16.5,94,Sábado,Buena
3756282.0,12.9,73,Lunes-jueves,Excelente
5022696.0,18.6,98,Sábado,Aceptable
3538385.0,20.7,81,Domingo/festivo,Aceptable
3241061.0,24.4,74,Lunes-jueves,Aceptable
4866638.0,25.0,107,Sábado,Aceptable
3253523.0,23.9,77,Lunes-jueves,Aceptable
3452559.0,21.9,84,Lunes-jueves,Aceptable
3723472.0,18.3,69,Lunes-jueves,Excelente
3476153.0,22.1,76,Viernes,Mala
3340096.0,19.9,68,Lunes-jueves,Buena
4548004.0,21.7,80,Lunes-jueves,Aceptable
3483826.0,26.8,81,Domingo/festivo,Mala
4293394.0,13.5,79,Viernes,Excelente
3127658.0,16.2,76,Lunes-jueves,Excelente
3269353.0,24.3,77,Lunes-jueves,Mala
3349801.0,25.4,67,Lunes-jueves,Muy mala
4027960.0,19.0,88,Domingo/festivo,Buena
3269306.0,22.9,68,Lunes-jueves,Aceptable
3006242.0,26.2,66,Lunes-jueves,Aceptable
3788380.0,22.4,90,Sábado,Buena
4994047.0,11.0,105,Viernes,Excelente
4043875.0,17.6,75,Lunes-jueves,Buena
3367161.0,24.4,87,Sábado,Aceptable
2352932.0,27.3,56,Lunes-jueves,Mala
3627075.0,23.1,85,Viernes,Mala
2992173.0,16.8,76,Lunes-jueves,Excelente
4045464.0,21.7,98,Domingo/festivo,Buena
2964217.0,16.2,69,Lunes-jueves,Buena
4050425.0,14.4,99,Sábado,Excelente
4030160.0,23.4,80,Lunes-jueves,Aceptable
4086667.0,24.2,91,Viernes,Aceptable
3261007.0,21.5,58,Lunes-jueves,Aceptable
3931286.0,15.9,92,Sábado,Buena
2822908.0,21.7,60,Lunes-jueves,Excelente
3089028.0,23.4,62,Lunes-jueves,Buena
3218090.0,18.5,76,Lunes-jueves,Excelente
3818786.0,27.0,83,Viernes,Aceptable
3317244.0,19.7,71,Lunes-jueves,Buena
3518910.0,27.8,69,Lunes-jueves,Buena
2825027.0,28.3,72,Lunes-jueves,Mala
2895382.0,23.0,72,Lunes-jueves,Aceptable
3906797.0,23.6,90,Viernes,Aceptable
3829794.0,25.3,89,Viernes,Buena
2862826.0,21.8,70,Lunes-jueves,Aceptable
5074812.0,26.0,100,Sábado,Aceptable
3001660.0,22.4,72,Viernes,Aceptable
3647751.0,15.9,77,Viernes,Excelente
4912373.0,14.4,103,Domingo/festivo,Buena
3176465.0,19.0,77,Lunes-jueves,Buena
3425104.0,26.4,97,Sábado,Buena
4208356.0,27.1,82,Lunes-jueves,Aceptable
3305823.0,15.1,73,Lunes-jueves,Buena
5517991.0,22.5,99,Viernes,Buena
3490568.0,18.4,85,Lunes-jueves,Aceptable
1874318.0,20.9,49,Lunes-jueves,Buena
4082569.0,20.9,82,Domingo/festivo,Aceptable
4077268.0,26.1,79,Lunes-jueves,Mala
4406806.0,18.8,84,Lunes-jueves,Aceptable
2730873.0,20.0,57,Lunes-jueves,Excelente
4895484.0,17.9,102,Domingo/festivo,Buena
2696905.0,22.8,59,Lunes-jueves,Aceptable
3276622.0,14.2,73,Lunes-jueves,Excelente
4462160.0,15.5,91,Domingo/festivo,Buena
5727121.0,29.1,102,Domingo/festivo,Mala
4286249.0,17.5,89,Domingo/festivo,Buena
4536505.0,31.0,96,Sábado,Muy mala
3570757.0,19.8,86,Sábado,Aceptable
4403763.0,25.5,107,Sábado,Aceptable
3585787.0,14.9,83,Viernes,Buena
3815086.0,24.5,86,Viernes,Mala
3806446.0,23.7,80,Lunes-jueves,Aceptable
3500506.0,18.0,82,Viernes,Buena
4895684.0,25.9,99,Sábado,Aceptable
2730731.0,23.4,58,Lunes-jueves,Aceptable
3655409.0,19.0,65,Lunes-jueves,Buena
4618842.0,22.5,94,Sábado,Aceptable
5894556.0,24.0,115,Sábado,Mala
3351681.0,20.9,65,Lunes-jueves,Mala
4135392.0,26.7,75,Viernes,Mala
2793505.0,13.2,63,Lunes-jueves,Excelente
3796388.0,16.6,93,Sábado,Buena
2635278.0,18.3,67,Lunes-jueves,Buena
3939236.0,26.1,94,Sábado,Aceptable
3059297.0,15.2,71,Viernes,Buena
4104698.0,29.2,83,Viernes,Aceptable
3870732.0,19.0,90,Sábado,Buena
4717912.0,11.1,104,Domingo/festivo,Buena
4159106.0,26.2,97,Sábado,Aceptable
1769107.0,16.1,50,Lunes-jueves,Buena
2639936.0,24.1,75,Domingo/festivo,Buena
4369566.0,21.5,85,Domingo/festivo,Aceptable
4510130.0,18.7,105,Sábado,Buena
3952169.0,14.3,92,Sábado,Excelente
3780728.0,10.6,86,Domingo/festivo,Buena
3269028.0,21.2,82,Viernes,Buena
2300808.0,17.8,55,Lunes-jueves,Buena
3220243.0,17.6,73,Viernes,Aceptable
4716697.0,23.7,95,Viernes,Buena
3597133.0,24.7,80,Lunes-jueves,Aceptable
3726008.0,17.1,71,Lunes-jueves,Buena
3270949.0,26.2,89,Domingo/festivo,Mala
5086686.0,21.8,86,Viernes,Mala
3616486.0,18.9,93,Viernes,Excelente
3396608.0,22.6,67,Lunes-jueves,Aceptable
4206982.0,17.7,84,Lunes-jueves,Aceptable
3758365.0,17.9,85,Sábado,Aceptable
3351623.0,13.0,77,Lunes-jueves,Buena
4949798.0,26.7,110,Sábado,Aceptable
3936749.0,21.8,82,Lunes-jueves,Aceptable
4279733.0,28.2,84,Lunes-jueves,Aceptable
3220613.0,23.9,70,Lunes-jueves,Aceptable
2770981.0,30.0,70,Lunes-jueves,Mala
4634749.0,18.8,92,Lunes-jueves,Buena
5049064.0,20.1,104,Sábado,Aceptable
3867191.0,25.2,74,Viernes,Aceptable
3615224.0,22.2,86,Viernes,Aceptable
3380530.0,21.0,88,Domingo/festivo,Aceptable
2984478.0,14.3,71,Lunes-jueves,Excelente
3142954.0,18.7,58,Lunes-jueves,Excelente
3135674.0,20.7,58,Lunes-jueves,Buena
4159399.0,21.8,90,Domingo/festivo,Buena
3801850.0,27.9,83,Lunes-jueves,Mala
2715222.0,18.1,68,Lunes-jueves,Aceptable
2856579.0,29.8,83,Viernes,Mala
5763132.0,19.8,106,Sábado,Aceptable
4399127.0,24.0,91,Domingo/festivo,Aceptable
5293248.0,15.6,109,Sábado,Buena
4459201.0,18.5,102,Sábado,Buena
4693983.0,23.1,101,Sábado,Aceptable
3120598.0,15.6,67,Lunes-jueves,Buena
3360459.0,15.0,82,Domingo/festivo,Excelente
3522228.0,15.8,62,Lunes-jueves,Excelente
2875870.0,21.1,65,Lunes-jueves,Aceptable
3885944.0,16.6,72,Lunes-jueves,Excelente
4148687.0,22.1,101,Lunes-jueves,Buena
4916050.0,33.6,91,Viernes,Muy mala
3433338.0,21.1,71,Lunes-jueves,Aceptable
3453027.0,17.3,68,Lunes-jueves,Buena
3939521.0,14.8,93,Viernes,Excelente
3058116.0,17.1,75,Lunes-jueves,Buena
5630246.0,17.6,118,Sábado,Buena
4699158.0,24.7,100,Sábado,Aceptable
3328152.0,18.6,84,Lunes-jueves,Aceptable
4249052.0,28.5,92,Sábado,Aceptable
4189521.0,19.5,106,Domingo/festivo,Excelente
4193675.0,24.0,92,Viernes,Buena
4092910.0,22.2,82,Lunes-jueves,Mala
2730559.0,16.8,67,Lunes-jueves,Buena
4143183.0,22.0,81,Lunes-jueves,Buena
4828221.0,23.8,107,Sábado,Aceptable
2513951.0,19.4,55,Lunes-jueves,Buena
3457405.0,15.4,78,Domingo/festivo,Buena
3705364.0,16.0,72,Lunes-jueves,Buena
3735541.0,17.0,86,Domingo/festivo,Buena
2362300.0,22.2,66,Lunes-jueves,Excelente
4831899.0,21.2,95,Viernes,Buena
5189402.0,15.8,91,Sábado,Buena
4119841.0,24.2,99,Sábado,Aceptable
3242990.0,19.4,98,Lunes-jueves,Aceptable
3502891.0,17.1,81,Viernes,Buena
4089796.0,28.1,82,Domingo/festivo,Aceptable
2569476.0,12.3,58,Lunes-jueves,Buena
2957043.0,17.0,65,Lunes-jueves,Excelente
3460019.0,22.6,74,Lunes-jueves,Mala
4662230.0,21.4,84,Domingo/festivo,Buena
3641828.0,25.1,78,Viernes,Mala
3579149.0,21.5,75,Viernes,Buena
4100494.0,25.0,86,Viernes,Aceptable
5331432.0,12.3,102,Sábado,Excelente
2836102.0,18.1,62,Lunes-jueves,Buena
