valor_inventario,tiempo_reposicion_dias,numero_quiebres_stock,categoria_producto,nivel_rotacion
19723109.0,11.7,1,Hogar,Media
18795420.0,5.4,2,Alimentos,Alta
30701837.0,7.5,1,Hogar,Alta
29195357.0,5.4,4,Hogar,Media
21284054.0,3.4,4,Alimentos,Alta
39028052.0,8.1,3,Tecnología,Media
22821486.0,5.6,3,Hogar,Alta
13021012.0,9.9,1,Aseo,Alta
22580484.0,14.7,2,Tecnología,Baja
17720011.0,7.2,1,Aseo,Alta
31136800.0,4.2,3,Alimentos,Alta
5936400.0,9.9,5,Aseo,Baja
12259311.0,5.0,0,Aseo,Muy alta
16696213.0,3.0,4,Aseo,Alta
14944446.0,3.7,4,Alimentos,Alta
16545897.0,5.3,1,Aseo,Alta
19715608.0,5.7,1,Aseo,Alta
18802979.0,2.6,5,Alimentos,Alta
20156268.0,7.8,5,Aseo,Media
23787943.0,8.0,2,Hogar,Alta
24224269.0,10.1,1,Tecnología,Alta
25337366.0,6.7,4,Alimentos,Media
26997214.0,10.5,2,Tecnología,Media
23943364.0,9.1,0,Tecnología,Alta
14263958.0,4.9,3,Hogar,Alta
25614085.0,8.4,3,Alimentos,Media
9444636.0,7.0,3,Aseo,Media
26015306.0,9.7,2,Tecnología,Media
11986415.0,3.3,5,Alimentos,Alta
9227516.0,3.0,1,Alimentos,Muy alta
26084031.0,10.4,4,Tecnología,Media
34964260.0,12.9,1,Tecnología,Media
11201054.0,9.6,2,Hogar,Media
25085763.0,12.9,2,Tecnología,Media
11330853.0,9.6,3,Aseo,Media
29797565.0,6.7,4,Tecnología,Media
22107191.0,7.0,3,Hogar,Media
25804076.0,7.7,2,Tecnología,Alta
43586672.0,11.2,4,Tecnología,Media
21769052.0,6.7,0,Hogar,Alta
33634614.0,10.2,3,Tecnología,Media
29412938.0,9.4,5,Tecnología,Media
25579695.0,4.9,6,Alimentos,Media
25873302.0,12.6,1,Tecnología,Media
20627320.0,5.9,0,Alimentos,Muy alta
15704123.0,9.5,2,Tecnología,Media
19236498.0,8.0,1,Aseo,Alta
21962123.0,7.5,1,Alimentos,Alta
16926590.0,5.5,5,Alimentos,Media
34517177.0,9.0,0,Tecnología,Alta
13378257.0,3.0,2,Alimentos,Alta
17107639.0,6.7,1,Hogar,Alta
18447677.0,3.9,4,Hogar,Alta
23274029.0,3.7,3,Hogar,Alta
34087354.0,9.4,0,Tecnología,Alta
13113441.0,6.9,1,Aseo,Alta
23205710.0,6.5,4,Hogar,Media
16718488.0,6.6,1,Aseo,Alta
29032235.0,10.2,0,Tecnología,Alta
32438263.0,8.4,2,Hogar,Alta
42828201.0,10.8,2,Tecnología,Media
23373194.0,4.9,4,Alimentos,Alta
23346763.0,5.5,7,Alimentos,Media
19104531.0,7.2,2,Hogar,Alta
19743012.0,6.6,3,Hogar,Alta
27888781.0,9.1,3,Tecnología,Media
12698886.0,4.5,4,Aseo,Alta
