monto_transaccion,tiempo_operacion_min,numero_transacciones_mes,canal_digital,satisfaccion_usuario
726573.0,8.4,4,Corresponsal,Media
630560.0,2.2,11,Aplicación móvil,Muy alta
1032563.0,2.2,2,Portal web,Muy alta
1420066.0,4.6,5,Portal web,Alta
427312.0,8.7,4,Corresponsal,Baja
919645.0,0.6,10,Aplicación móvil,Muy alta
685539.0,1.5,9,Aplicación móvil,Muy alta
355964.0,4.1,6,Portal web,Alta
1635998.0,1.3,10,Aplicación móvil,Muy alta
673158.0,3.9,15,Billetera digital,Alta
1243998.0,5.8,8,Portal web,Alta
2072655.0,1.5,5,Aplicación móvil,Muy alta
1479879.0,9.9,1,Corresponsal,Baja
470101.0,3.1,9,Billetera digital,Muy alta
499286.0,1.1,8,Billetera digital,Muy alta
623691.0,5.8,1,Corresponsal,Alta
451623.0,2.3,12,Billetera digital,Muy alta
223580.0,6.7,5,Corresponsal,Media
930593.0,2.5,7,Aplicación móvil,Muy alta
878911.0,3.7,10,Aplicación móvil,Alta
369298.0,0.9,10,Aplicación móvil,Muy alta
1944442.0,2.6,9,Aplicación móvil,Muy alta
1700708.0,8.9,5,Corresponsal,Baja
1602746.0,2.4,12,Aplicación móvil,Muy alta
1403775.0,6.1,5,Portal web,Media
848295.0,2.9,1,Aplicación móvil,Muy alta
1618213.0,0.5,9,Aplicación móvil,Muy alta
320551.0,7.0,2,Corresponsal,Media
347194.0,7.4,1,Corresponsal,Media
1081078.0,2.4,10,Aplicación móvil,Muy alta
731390.0,2.6,13,Billetera digital,Muy alta
473068.0,2.7,14,Aplicación móvil,Muy alta
1722544.0,4.0,6,Portal web,Alta
665702.0,4.7,6,Aplicación móvil,Alta
811912.0,4.6,7,Aplicación móvil,Alta
454460.0,4.0,11,Aplicación móvil,Alta
1776545.0,7.7,4,Portal web,Media
2068480.0,3.3,6,Aplicación móvil,Muy alta
594496.0,6.7,4,Corresponsal,Media
252982.0,3.0,7,Billetera digital,Muy alta
360610.0,3.8,8,Aplicación móvil,Alta
2917811.0,4.4,6,Portal web,Alta
3004719.0,4.2,6,Portal web,Alta
508181.0,4.3,6,Aplicación móvil,Alta
925339.0,2.4,7,Aplicación móvil,Muy alta
709052.0,2.7,8,Aplicación móvil,Muy alta
417616.0,3.0,10,Billetera digital,Muy alta
635809.0,2.6,9,Billetera digital,Muy alta
1435709.0,0.7,9,Aplicación móvil,Muy alta
134711.0,0.5,9,Billetera digital,Muy alta
1347666.0,2.4,9,Aplicación móvil,Muy alta
555847.0,3.3,5,Aplicación móvil,Muy alta
2653021.0,6.6,7,Aplicación móvil,Media
604065.0,1.1,8,Aplicación móvil,Muy alta
1923686.0,2.5,3,Portal web,Muy alta
780289.0,3.1,6,Portal web,Muy alta
662394.0,8.8,1,Corresponsal,Baja
947032.0,3.9,5,Portal web,Alta
465354.0,7.6,5,Portal web,Media
1586425.0,0.5,6,Aplicación móvil,Muy alta
1109751.0,5.5,11,Aplicación móvil,Alta
1699756.0,2.9,7,Portal web,Muy alta
536376.0,2.9,9,Aplicación móvil,Muy alta
1513967.0,2.6,10,Aplicación móvil,Muy alta
1032359.0,1.4,5,Aplicación móvil,Muy alta
1099664.0,1.2,4,Aplicación móvil,Muy alta
855569.0,4.2,12,Billetera digital,Alta
344802.0,2.1,8,Aplicación móvil,Muy alta
410383.0,3.1,7,Billetera digital,Muy alta
489826.0,5.3,4,Corresponsal,Alta
675602.0,6.5,6,Portal web,Media
351012.0,0.7,10,Billetera digital,Muy alta
255320.0,2.3,8,Billetera digital,Muy alta
592893.0,2.6,7,Aplicación móvil,Muy alta
221379.0,2.1,8,Billetera digital,Muy alta
3007935.0,4.6,6,Portal web,Alta
1472140.0,2.1,5,Portal web,Muy alta
1055188.0,1.5,3,Aplicación móvil,Muy alta
1212866.0,5.1,6,Aplicación móvil,Alta
1127111.0,0.7,7,Portal web,Muy alta
1023100.0,2.8,8,Aplicación móvil,Muy alta
1368597.0,0.9,12,Billetera digital,Muy alta
575952.0,1.8,7,Aplicación móvil,Muy alta
2319887.0,7.1,6,Portal web,Media
1777220.0,0.9,6,Aplicación móvil,Muy alta
603750.0,5.2,1,Corresponsal,Alta
894302.0,2.1,9,Aplicación móvil,Muy alta
1268632.0,1.2,8,Billetera digital,Muy alta
1066003.0,3.5,2,Portal web,Muy alta
899012.0,4.4,5,Portal web,Alta
756826.0,1.5,11,Aplicación móvil,Muy alta
385762.0,2.1,8,Aplicación móvil,Muy alta
1298717.0,4.6,5,Portal web,Alta
397550.0,5.2,9,Billetera digital,Alta
686081.0,3.2,13,Billetera digital,Muy alta
508986.0,3.9,10,Aplicación móvil,Alta
1806539.0,3.7,8,Portal web,Alta
339191.0,1.1,10,Billetera digital,Muy alta
1081649.0,4.9,10,Billetera digital,Alta
470516.0,9.3,4,Corresponsal,Baja
2133520.0,3.9,4,Portal web,Alta
1163901.0,3.7,7,Portal web,Alta
1407162.0,2.7,7,Aplicación móvil,Muy alta
1180302.0,0.9,5,Aplicación móvil,Muy alta
2421037.0,4.1,2,Portal web,Alta
2545348.0,4.8,5,Portal web,Alta
192833.0,8.4,6,Corresponsal,Media
1828241.0,1.7,10,Aplicación móvil,Muy alta
1080342.0,6.6,3,Corresponsal,Media
839626.0,4.6,1,Portal web,Alta
837400.0,3.8,13,Billetera digital,Alta
3825126.0,3.0,9,Portal web,Muy alta
1047577.0,4.5,9,Aplicación móvil,Alta
3718336.0,5.0,5,Portal web,Alta
600623.0,9.2,7,Corresponsal,Baja
720005.0,3.3,3,Aplicación móvil,Muy alta
710830.0,5.3,7,Portal web,Alta
1144444.0,7.5,3,Corresponsal,Media
478589.0,6.2,4,Portal web,Media
852210.0,0.5,7,Billetera digital,Muy alta
542770.0,4.2,12,Aplicación móvil,Alta
1035638.0,4.4,5,Aplicación móvil,Alta
689066.0,5.2,3,Aplicación móvil,Alta
1003363.0,5.0,7,Portal web,Alta
393643.0,2.2,8,Billetera digital,Muy alta
1927138.0,3.6,4,Portal web,Alta
1226008.0,3.4,8,Aplicación móvil,Muy alta
443549.0,1.4,7,Aplicación móvil,Muy alta
332591.0,3.4,5,Billetera digital,Muy alta
1102076.0,3.5,8,Aplicación móvil,Muy alta
1829202.0,3.0,9,Aplicación móvil,Muy alta
826542.0,5.2,4,Portal web,Alta
515436.0,3.8,6,Aplicación móvil,Alta
718713.0,7.4,1,Corresponsal,Media
253145.0,2.4,7,Aplicación móvil,Muy alta
564724.0,3.9,12,Aplicación móvil,Alta
255873.0,9.6,1,Corresponsal,Baja
798277.0,1.2,9,Aplicación móvil,Muy alta
1219232.0,4.2,6,Portal web,Alta
1499630.0,5.4,6,Corresponsal,Alta
418103.0,2.7,10,Billetera digital,Muy alta
1025265.0,3.9,7,Aplicación móvil,Alta
1924926.0,2.5,5,Portal web,Muy alta
977469.0,4.3,7,Aplicación móvil,Alta
533191.0,1.6,8,Aplicación móvil,Muy alta
447918.0,2.3,5,Aplicación móvil,Muy alta
860877.0,1.0,7,Aplicación móvil,Muy alta
119864.0,3.4,11,Billetera digital,Muy alta
3000211.0,3.9,3,Portal web,Alta
2629800.0,3.8,1,Portal web,Alta
973061.0,5.7,7,Portal web,Alta
486165.0,3.7,7,Billetera digital,Alta
557446.0,3.5,3,Portal web,Alta
2030878.0,3.8,11,Aplicación móvil,Alta
417099.0,7.9,3,Corresponsal,Media
556078.0,1.5,8,Aplicación móvil,Muy alta
369627.0,9.2,3,Corresponsal,Baja
669469.0,6.8,7,Corresponsal,Media
318189.0,6.3,7,Corresponsal,Media
213506.0,2.2,12,Billetera digital,Muy alta
909684.0,2.6,2,Portal web,Muy alta
334420.0,4.3,2,Portal web,Alta
900192.0,3.5,11,Aplicación móvil,Muy alta
555272.0,7.8,3,Corresponsal,Media
124131.0,2.0,9,Billetera digital,Muy alta
809197.0,2.7,9,Aplicación móvil,Muy alta
349486.0,2.8,12,Aplicación móvil,Muy alta
431832.0,1.9,12,Billetera digital,Muy alta
3406007.0,6.5,1,Portal web,Media
1350804.0,6.7,1,Corresponsal,Media
621215.0,9.7,1,Corresponsal,Baja
329214.0,2.4,9,Billetera digital,Muy alta
506979.0,7.3,1,Corresponsal,Media
585971.0,1.9,8,Billetera digital,Muy alta
1640955.0,4.8,11,Aplicación móvil,Alta
222818.0,3.5,8,Billetera digital,Muy alta
220700.0,1.8,11,Billetera digital,Muy alta
674104.0,2.2,10,Aplicación móvil,Muy alta
621969.0,9.4,1,Corresponsal,Baja
366079.0,4.0,5,Aplicación móvil,Alta
1530786.0,1.8,5,Aplicación móvil,Muy alta
1871884.0,4.7,2,Portal web,Alta
2258437.0,5.2,6,Portal web,Alta
3857342.0,2.5,5,Portal web,Muy alta
224921.0,0.5,14,Billetera digital,Muy alta
384024.0,5.4,12,Aplicación móvil,Alta
514829.0,4.5,12,Billetera digital,Alta
1043640.0,1.2,7,Aplicación móvil,Muy alta
1159418.0,6.5,6,Portal web,Media
1619861.0,4.0,5,Aplicación móvil,Alta
592170.0,6.1,4,Portal web,Media
2358822.0,4.6,6,Portal web,Alta
1458668.0,4.4,5,Portal web,Alta
571944.0,1.5,10,Billetera digital,Muy alta
416769.0,3.0,8,Billetera digital,Muy alta
1408195.0,3.1,1,Portal web,Muy alta
970171.0,2.3,10,Aplicación móvil,Muy alta
1891764.0,4.2,5,Portal web,Alta
1294113.0,1.3,8,Aplicación móvil,Muy alta
371323.0,2.8,6,Aplicación móvil,Muy alta
