consumo_energia_kwh,costo_energia,numero_incidentes_ambientales,area_operativa,nivel_eficiencia_ambiental
6475.4,4473251.0,4,Producción,Baja
1527.1,1119904.0,1,Administración,Alta
4744.4,3205683.0,1,Producción,Alta
3414.9,2296587.0,3,Logística,Media
4240.7,2630744.0,3,Logística,Baja
4582.2,3036071.0,0,Logística,Baja
1301.2,887190.0,0,Administración,Muy alta
2986.9,2159100.0,4,Producción,Muy alta
5237.8,3772558.0,2,Logística,Muy baja
2869.0,2074918.0,3,Logística,Alta
3062.6,1949852.0,2,Logística,Alta
1520.6,946262.0,0,Comercial,Alta
3012.4,2132678.0,3,Logística,Alta
5575.7,4185031.0,3,Producción,Media
1531.9,1014624.0,2,Administración,Alta
2419.4,1705943.0,5,Logística,Alta
2256.7,1621765.0,0,Administración,Baja
1522.3,1139901.0,0,Comercial,Alta
1883.6,1385852.0,2,Administración,Media
2034.6,1463385.0,1,Administración,Media
1410.8,1072104.0,1,Comercial,Alta
4477.1,3037491.0,3,Producción,Alta
3587.1,2410554.0,5,Producción,Alta
1231.7,781739.0,0,Administración,Muy alta
3511.1,2492055.0,3,Logística,Media
3620.1,2398253.0,2,Producción,Muy alta
1347.4,898631.0,1,Comercial,Alta
1801.0,1257250.0,0,Comercial,Media
5003.8,3543496.0,1,Logística,Baja
4686.5,3332627.0,3,Producción,Media
1790.1,1225791.0,1,Administración,Alta
989.0,676759.0,0,Comercial,Muy alta
4573.3,3409414.0,2,Logística,Baja
1892.9,1277911.0,2,Comercial,Baja
4358.7,2933649.0,4,Producción,Alta
2313.1,1770712.0,4,Logística,Muy alta
1987.2,1545621.0,0,Administración,Media
2683.2,1728637.0,3,Logística,Alta
1440.5,974684.0,1,Comercial,Alta
1352.9,879267.0,1,Comercial,Alta
4419.4,3216992.0,0,Logística,Media
5375.2,4149731.0,4,Producción,Media
3839.7,2639457.0,3,Producción,Alta
2098.0,1539649.0,0,Administración,Media
2855.0,1787814.0,3,Logística,Alta
3083.8,2360517.0,4,Logística,Media
2189.3,1643659.0,2,Administración,Baja
1416.5,930438.0,0,Administración,Muy alta
4508.5,2819303.0,3,Producción,Alta
5814.4,3912425.0,5,Producción,Baja
3542.3,2443051.0,2,Logística,Media
3955.1,2472623.0,3,Logística,Media
4550.2,3294029.0,5,Logística,Muy baja
3350.8,2503131.0,4,Logística,Media
1718.0,1087895.0,4,Producción,Muy alta
4675.2,3610466.0,0,Producción,Alta
2025.4,1313440.0,0,Administración,Media
1970.1,1380148.0,0,Administración,Media
6838.7,4624025.0,2,Producción,Baja
1407.9,962888.0,3,Comercial,Media
4464.7,3352485.0,2,Logística,Baja
1500.1,983184.0,0,Comercial,Alta
4384.5,3383455.0,4,Producción,Alta
4870.1,3132839.0,3,Producción,Media
1397.5,962620.0,2,Comercial,Alta
1573.4,1053918.0,0,Comercial,Alta
1002.2,706949.0,2,Comercial,Muy alta
1310.1,947399.0,1,Comercial,Alta
3682.0,2416839.0,2,Logística,Media
3194.2,2159569.0,2,Producción,Muy alta
3525.4,2469198.0,2,Logística,Media
2389.6,1506834.0,3,Logística,Muy alta
1971.2,1465753.0,0,Comercial,Baja
1542.2,1057742.0,2,Administración,Alta
1625.1,1163950.0,4,Administración,Media
4847.4,3406102.0,2,Producción,Alta
3935.2,2746133.0,1,Producción,Muy alta
4661.3,3635023.0,3,Producción,Alta
1281.8,840405.0,2,Comercial,Alta
2104.7,1631080.0,0,Comercial,Baja
2025.2,1477991.0,0,Administración,Media
4247.8,3272319.0,2,Producción,Alta
2001.6,1479589.0,1,Administración,Media
5818.1,3870753.0,3,Producción,Baja
3081.8,2206250.0,3,Logística,Alta
1858.3,1428256.0,2,Comercial,Baja
3962.1,2903864.0,3,Logística,Baja
4483.7,3017010.0,1,Logística,Baja
1652.8,1068273.0,0,Administración,Alta
1488.3,1113305.0,0,Administración,Muy alta
1626.8,1047825.0,1,Comercial,Media
5807.4,3715272.0,3,Producción,Baja
5068.3,3548765.0,4,Producción,Media
2936.9,2178349.0,3,Logística,Alta
4080.2,2922832.0,2,Logística,Media
1577.6,1006758.0,2,Administración,Alta
1365.5,943650.0,2,Comercial,Alta
3866.0,2865977.0,0,Logística,Media
1422.3,1041123.0,1,Comercial,Alta
3107.0,2166890.0,4,Producción,Muy alta
5565.8,3506669.0,4,Producción,Baja
3313.4,2525627.0,2,Producción,Muy alta
7466.1,5716925.0,2,Producción,Muy baja
5508.5,3636200.0,4,Producción,Baja
4585.7,2858298.0,3,Logística,Baja
5150.2,3659541.0,3,Producción,Media
5892.6,3908261.0,2,Producción,Media
6753.9,4688354.0,5,Producción,Muy baja
1158.8,898347.0,2,Administración,Muy alta
3973.2,2820166.0,2,Logística,Media
5407.1,3655322.0,3,Producción,Media
3294.3,2204703.0,5,Producción,Alta
4198.1,2699237.0,1,Logística,Media
4471.2,3455828.0,3,Producción,Alta
1515.2,1092906.0,0,Comercial,Alta
1458.4,972297.0,2,Administración,Alta
1984.5,1244922.0,0,Comercial,Baja
1869.8,1440787.0,1,Logística,Muy alta
1377.1,896423.0,0,Administración,Muy alta
2767.7,2145312.0,2,Logística,Alta
2870.2,2187837.0,4,Logística,Alta
6004.8,4372429.0,2,Producción,Baja
6167.7,4406670.0,3,Producción,Baja
1607.2,1125644.0,1,Administración,Alta
3551.7,2590762.0,0,Logística,Alta
1942.2,1418602.0,1,Comercial,Baja
4092.6,3022509.0,4,Producción,Alta
6201.5,4073128.0,4,Producción,Baja
4543.2,3403755.0,2,Logística,Baja
3210.8,2499227.0,2,Logística,Alta
1425.8,960380.0,0,Administración,Muy alta
1424.9,926680.0,0,Administración,Muy alta
3842.9,2600671.0,4,Logística,Baja
1707.3,1206089.0,0,Comercial,Media
2889.7,1828245.0,4,Producción,Muy alta
3339.5,2453044.0,2,Logística,Alta
5055.2,3231914.0,1,Producción,Alta
1200.2,760978.0,0,Comercial,Muy alta
1747.9,1219929.0,2,Administración,Media
4116.8,2832093.0,1,Logística,Media
2167.1,1640063.0,1,Administración,Baja
3254.2,2078013.0,3,Logística,Media
1419.6,967406.0,0,Comercial,Alta
1604.2,1239099.0,3,Comercial,Media
2150.3,1451040.0,0,Comercial,Baja
1848.5,1224257.0,0,Administración,Alta
2159.3,1339356.0,0,Administración,Media
5425.7,4070915.0,2,Producción,Media
3861.9,2617400.0,2,Logística,Media
4708.6,3322882.0,3,Producción,Media
5652.9,3729443.0,4,Producción,Baja
1343.4,1004930.0,2,Comercial,Alta
2322.9,1544731.0,4,Logística,Muy alta
6504.5,4790116.0,1,Producción,Baja
5870.8,4206629.0,3,Producción,Baja
1173.8,836947.0,0,Comercial,Muy alta
3475.0,2309734.0,2,Logística,Media
1694.5,1195096.0,1,Comercial,Media
959.6,732912.0,4,Comercial,Muy alta
1754.8,1171559.0,1,Comercial,Media
1804.4,1162145.0,0,Administración,Alta
4832.6,3390012.0,1,Logística,Baja
1968.2,1439363.0,2,Administración,Media
1581.7,1197807.0,4,Administración,Media
